borough,neighborhood,building_class_category,zip_code,residential_units,commercial_units,total_units,land_square_feet,gross_square_feet,year_built,sale_price,sale_date,sale_year,age
2,BRONXDALE,01 ONE FAMILY DWELLINGS,10467,1,0,1,1800,1566,1960,430000,2018-06-29T00:00:00Z,2018,58
2,BRONXDALE,01 ONE FAMILY DWELLINGS,10469,1,0,1,1098,1528,1960,4e+05,2018-06-20T00:00:00Z,2018,58
2,BRONXDALE,01 ONE FAMILY DWELLINGS,10469,1,0,1,1008,1528,1960,449000,2018-08-16T00:00:00Z,2018,58
2,BRONXDALE,01 ONE FAMILY DWELLINGS,10469,1,0,1,3117,1552,1935,365000,2017-11-09T00:00:00Z,2017,82
2,BRONXDALE,01 ONE FAMILY DWELLINGS,10469,1,0,1,2600,2520,1960,480000,2018-01-22T00:00:00Z,2018,58
2,BRONXDALE,01 ONE FAMILY DWELLINGS,10469,1,0,1,1800,1576,1950,515000,2018-07-13T00:00:00Z,2018,68
2,BRONXDALE,01 ONE FAMILY DWELLINGS,10469,1,0,1,1800,1370,1960,435000,2017-10-19T00:00:00Z,2017,57
2,BRONXDALE,01 ONE FAMILY DWELLINGS,10469,1,0,1,2500,1470,1970,434000,2018-08-15T00:00:00Z,2018,48
2,BRONXDALE,01 ONE FAMILY DWELLINGS,10467,1,0,1,2160,1575,1950,266000,2018-04-19T00:00:00Z,2018,68
2,BRONXDALE,01 ONE FAMILY DWELLINGS,10467,1,0,1,4608,3391,1925,515000,2018-01-31T00:00:00Z,2018,93
2,BRONXDALE,01 ONE FAMILY DWELLINGS,10467,1,0,1,1750,1224,1965,165000,2018-05-23T00:00:00Z,2018,53
2,BRONXDALE,01 ONE FAMILY DWELLINGS,10469,1,0,1,3125,1056,1925,468000,2018-06-29T00:00:00Z,2018,93
2,BRONXDALE,01 ONE FAMILY DWELLINGS,10469,1,1,2,2500,2024,1956,530000,2017-11-28T00:00:00Z,2017,61
2,BRONXDALE,01 ONE FAMILY DWELLINGS,10469,1,0,1,2500,1248,1960,593162,2017-10-03T00:00:00Z,2017,57
2,BRONXDALE,01 ONE FAMILY DWELLINGS,10469,1,0,1,2500,1248,1960,270000,2017-11-09T00:00:00Z,2017,57
2,BRONXDALE,01 ONE FAMILY DWELLINGS,10469,1,0,1,1190,1582,1965,203000,2018-07-24T00:00:00Z,2018,53
2,BRONXDALE,01 ONE FAMILY DWELLINGS,10469,1,0,1,2592,1728,1955,540000,2017-09-25T00:00:00Z,2017,62
2,BRONXDALE,01 ONE FAMILY DWELLINGS,10469,1,0,1,2500,1375,1940,472000,2018-05-11T00:00:00Z,2018,78
